Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Namespace,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Exceptions,Completed Work Items,Lock Contentions,Gen0,Code Size,Gen1,Allocated
'HasItems: With Predicate',Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,64,258.1825 ns,1.1861 ns,1.1095 ns,0.2865 ns,258.3159 ns,255.0943 ns,257.6467 ns,258.9308 ns,259.4435 ns,"3,873,229.6",1.1861 ns,15.00,4.370,2.000,-1.1840,53,*,No,0.0000,0.0000,0.0000,0.0000,"1,099 B",0.0000,0 B
'HasItems: With Predicate',Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,128,"3,658.0987 ns",8.1889 ns,7.2592 ns,1.9401 ns,"3,655.9090 ns","3,647.9332 ns","3,653.0207 ns","3,663.0335 ns","3,671.7823 ns","273,366.1",8.1889 ns,14.00,1.753,2.000,0.4322,78,*,No,0.0000,0.0000,0.0000,0.0000,"1,099 B",0.0000,0 B
'HasItems: With Predicate',Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,256,649.3615 ns,1.6366 ns,1.5309 ns,0.3953 ns,649.5564 ns,646.2719 ns,648.5886 ns,650.2105 ns,651.9292 ns,"1,539,974.3",1.6366 ns,15.00,2.251,2.000,-0.2430,65,*,No,0.0000,0.0000,0.0000,0.0000,"1,013 B",0.0000,0 B
'HasItems: With Predicate',Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,512,"6,328.3421 ns",29.1910 ns,25.8771 ns,6.9159 ns,"6,327.1393 ns","6,253.1750 ns","6,321.7836 ns","6,346.8994 ns","6,358.7498 ns","158,019.3",29.1910 ns,14.00,5.363,2.000,-1.4980,81,*,No,0.0000,0.0000,0.0000,0.0000,"1,013 B",0.0000,0 B
'HasItems: With Predicate',Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,1024,757.7152 ns,4.0747 ns,3.6121 ns,0.9654 ns,758.6658 ns,749.5036 ns,757.4436 ns,759.9549 ns,761.4674 ns,"1,319,757.1",4.0747 ns,14.00,3.116,2.000,-1.1402,66,*,No,0.0000,0.0000,0.0000,0.0000,"1,013 B",0.0000,0 B
'HasItems: With Predicate',Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,2048,"1,186.1102 ns",4.8702 ns,4.5556 ns,1.1762 ns,"1,186.6047 ns","1,174.0080 ns","1,184.2911 ns","1,188.3434 ns","1,193.8875 ns","843,092.0",4.8702 ns,15.00,4.059,2.000,-0.8712,70,*,No,0.0000,0.0000,0.0000,0.0000,"1,013 B",0.0000,0 B
'Index []',Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"**FOR COMPARISON**,Collections",16,2.1110 ns,0.0206 ns,0.0161 ns,0.0046 ns,2.1154 ns,2.0700 ns,2.1112 ns,2.1192 ns,2.1272 ns,"473,704,090.1",0.0206 ns,12.00,3.889,2.000,-1.3882,8,*,No,0.0000,0.0000,0.0000,0.0000,104 B,0.0000,0 B
'Index []',Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"**FOR COMPARISON**,Collections",32,2.5351 ns,0.0812 ns,0.1899 ns,0.0236 ns,2.6169 ns,2.0820 ns,2.6019 ns,2.6243 ns,2.6345 ns,"394,463,932.8",0.0812 ns,65.00,4.484,2.000,-1.8480,10,*,No,0.0000,0.0000,0.0000,0.0000,104 B,0.0000,0 B
'Index []',Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"**FOR COMPARISON**,Collections",64,2.0894 ns,0.0158 ns,0.0148 ns,0.0038 ns,2.0910 ns,2.0487 ns,2.0861 ns,2.0994 ns,2.1086 ns,"478,597,653.0",0.0158 ns,15.00,4.262,2.000,-1.1906,8,*,No,0.0000,0.0000,0.0000,0.0000,104 B,0.0000,0 B
'Index []',Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"**FOR COMPARISON**,Collections",128,2.1451 ns,0.0106 ns,0.0094 ns,0.0025 ns,2.1478 ns,2.1152 ns,2.1451 ns,2.1500 ns,2.1524 ns,"466,173,774.4",0.0106 ns,14.00,7.508,2.000,-2.2606,9,*,No,0.0000,0.0000,0.0000,0.0000,104 B,0.0000,0 B
'Index []',Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"**FOR COMPARISON**,Collections",256,2.0939 ns,0.0105 ns,0.0098 ns,0.0025 ns,2.0949 ns,2.0655 ns,2.0915 ns,2.0984 ns,2.1078 ns,"477,574,135.7",0.0105 ns,15.00,5.157,2.000,-1.3006,8,*,No,0.0000,0.0000,0.0000,0.0000,104 B,0.0000,0 B
'Index []',Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"**FOR COMPARISON**,Collections",512,2.0985 ns,0.0135 ns,0.0120 ns,0.0032 ns,2.0975 ns,2.0818 ns,2.0913 ns,2.1021 ns,2.1237 ns,"476,541,173.8",0.0135 ns,14.00,2.334,2.000,0.5783,8,*,No,0.0000,0.0000,0.0000,0.0000,104 B,0.0000,0 B
'Index []',Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"**FOR COMPARISON**,Collections",1024,2.1042 ns,0.0199 ns,0.0186 ns,0.0048 ns,2.1035 ns,2.0513 ns,2.0996 ns,2.1154 ns,2.1296 ns,"475,230,943.1",0.0199 ns,15.00,4.763,2.000,-1.2434,8,*,No,0.0000,0.0000,0.0000,0.0000,104 B,0.0000,0 B
'Index []',Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"**FOR COMPARISON**,Collections",2048,2.0464 ns,0.0087 ns,0.0082 ns,0.0021 ns,2.0459 ns,2.0353 ns,2.0385 ns,2.0511 ns,2.0601 ns,"488,671,205.5",0.0087 ns,15.00,1.611,2.000,0.1348,7,*,No,0.0000,0.0000,0.0000,0.0000,104 B,0.0000,0 B
AddFirst,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"Collections,**NEW**",16,85.1048 ns,0.3523 ns,0.3295 ns,0.0851 ns,85.1567 ns,84.3342 ns,84.9213 ns,85.3354 ns,85.5657 ns,"11,750,225.2",0.3523 ns,15.00,2.744,2.000,-0.6450,36,*,No,0.0000,0.0000,0.0000,0.0027,"12,212 B",0.0000,256 B
AddFirst,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"Collections,**NEW**",32,101.4285 ns,0.5564 ns,0.5204 ns,0.1344 ns,101.5707 ns,100.5121 ns,101.0522 ns,101.7473 ns,102.3659 ns,"9,859,163.1",0.5564 ns,15.00,2.027,2.000,-0.2703,40,*,No,0.0000,0.0000,0.0000,0.0042,"12,898 B",0.0000,384 B
AddFirst,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"Collections,**NEW**",64,131.8847 ns,1.5755 ns,1.4737 ns,0.3805 ns,132.2018 ns,129.9755 ns,130.5134 ns,133.1418 ns,133.6857 ns,"7,582,377.9",1.5755 ns,15.00,1.090,2.000,-0.0450,45,*,No,0.0000,0.0000,0.0000,0.0069,"12,898 B",0.0000,640 B
AddFirst,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"Collections,**NEW**",128,197.3487 ns,1.5444 ns,1.4446 ns,0.3730 ns,197.0813 ns,194.9535 ns,196.8096 ns,198.3651 ns,200.2924 ns,"5,067,173.7",1.5444 ns,15.00,2.440,2.000,0.1793,50,*,No,0.0000,0.0000,0.0000,0.0124,"12,898 B",0.0000,1152 B
AddFirst,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"Collections,**NEW**",256,337.5872 ns,1.7397 ns,1.6273 ns,0.4202 ns,336.9016 ns,335.5190 ns,336.1351 ns,338.7950 ns,340.7854 ns,"2,962,197.7",1.7397 ns,15.00,1.757,2.000,0.4190,56,*,No,0.0000,0.0000,0.0000,0.0238,"12,966 B",0.0000,2176 B
AddFirst,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"Collections,**NEW**",512,614.8180 ns,4.4207 ns,4.1352 ns,1.0677 ns,613.4022 ns,608.5680 ns,611.8793 ns,617.6004 ns,623.4911 ns,"1,626,497.6",4.4207 ns,15.00,2.084,2.000,0.3169,63,*,No,0.0000,0.0000,0.0000,0.0458,"12,907 B",0.0000,4224 B
AddFirst,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"Collections,**NEW**",1024,"1,248.2823 ns",5.8886 ns,5.5082 ns,1.4222 ns,"1,248.2993 ns","1,241.0638 ns","1,244.2471 ns","1,251.9209 ns","1,260.4661 ns","801,100.8",5.8886 ns,15.00,2.307,2.000,0.4286,72,*,No,0.0000,0.0000,0.0000,0.0935,"12,907 B",0.0019,8320 B
AddFirst,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,"Collections,**NEW**",2048,"2,442.2051 ns",14.5981 ns,13.6551 ns,3.5257 ns,"2,441.4480 ns","2,420.3981 ns","2,432.0240 ns","2,451.4677 ns","2,468.2238 ns","409,466.0",14.5981 ns,15.00,2.009,2.000,0.0333,75,*,No,0.0000,0.0000,0.0000,0.1831,"12,907 B",0.0076,16512 B
AsSpan,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,16,0.8981 ns,0.0136 ns,0.0127 ns,0.0033 ns,0.8944 ns,0.8753 ns,0.8919 ns,0.9089 ns,0.9169 ns,"1,113,480,148.9",0.0136 ns,15.00,1.785,2.000,-0.0585,5,*,No,0.0000,0.0000,0.0000,0.0000,904 B,0.0000,0 B
AsSpan,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,32,1.5395 ns,0.0895 ns,0.2510 ns,0.0263 ns,1.6201 ns,0.7231 ns,1.6138 ns,1.6275 ns,1.6468 ns,"649,582,038.7",0.0895 ns,91.00,8.078,2.000,-2.6437,6,*,No,0.0000,0.0000,0.0000,0.0000,904 B,0.0000,0 B
AsSpan,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,64,0.8956 ns,0.0099 ns,0.0093 ns,0.0024 ns,0.8966 ns,0.8807 ns,0.8876 ns,0.9023 ns,0.9107 ns,"1,116,556,371.6",0.0099 ns,15.00,1.521,2.000,-0.0290,5,*,No,0.0000,0.0000,0.0000,0.0000,904 B,0.0000,0 B
AsSpan,Job-TLMPGC,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Extensions.BenchmarkTests,Collections,128,0.7234 ns,0.0051 ns,0.0045 ns,0.0012 ns,0.7228 ns,0.7168 ns,0.7208 ns,0.7264 ns,0.7320 ns,"1,382,408,222.8",0.0051 ns,14.00,1.883,2.000,0.2177,3,*,No,0.0000,0.0000,0.0000,0.0000,970 B,0.0000,0 B
